artist,song,genre,era,url
The Smiths,How Soon Is Now?,Alternative,80s,https://www.youtube.com/watch?v=hnpILIIo9ek
Bush,Glycerine,Rock,90s,https://www.youtube.com/watch?v=hOllF3TgAsM
Nirvana,Smells Like Teen Spirit,Rock,90s,https://www.youtube.com/watch?v=hTWKbfoikeg
Bee Gees,Stayin' Alive,Pop,70s,https://www.youtube.com/watch?v=I_izvAbhExY
Glass Animals,Gooey,Alternative,2010s,https://www.youtube.com/watch?v=IIA1XQnAv5s
Aerosmith,Dream On,Rock,70s,https://www.youtube.com/watch?v=iJDtukGW79Y
Ace of Base,The Sign,Pop,90s,https://www.youtube.com/watch?v=iqu132vTl5Y
R.E.M.,The One I Love,Alternative,80s,https://www.youtube.com/watch?v=j7oQEPfe-O8
Ed Sheeran,Shape of You,Pop,2010s,https://www.youtube.com/watch?v=JGwWNGJdvx8
Royal Blood,Figure It Out,Rock,2010s,https://www.youtube.com/watch?v=jhgVu2lsi_k
Culture Club,Karma Chameleon,Pop,80s,https://www.youtube.com/watch?v=JmcA9LIIXWw
Alanis Morissette,Ironic,Pop,90s,https://www.youtube.com/watch?v=Jne9t8sHpUc
Dua Lipa,New Rules,Pop,2010s,https://www.youtube.com/watch?v=k2qgadSvNyU
Weezer,Buddy Holly,Alternative,90s,https://www.youtube.com/watch?v=kemivUKb4f4
Fontaines D.C.,Starburster,Alternative,2020s,https://www.youtube.com/watch?v=KHocVRUlvkk
Bon Jovi,You Give Love a Bad Name,Rock,80s,https://www.youtube.com/watch?v=KrZHPOeOxQQ
Katy Perry,Hot n Cold,Pop,2000s,https://www.youtube.com/watch?v=kTHNpusq654
Imagine Dragons,Radioactive,Rock,2010s,https://www.youtube.com/watch?v=ktvTqknDobU
AC/DC,Highway to Hell,Rock,70s,https://www.youtube.com/watch?v=l482T0yNkeo
Bon Jovi,Livin' on a Prayer,Rock,80s,https://www.youtube.com/watch?v=lMGaiSqOp58
Echo & the Bunnymen,The Killing Moon,Alternative,80s,https://www.youtube.com/watch?v=LWz0JC7afNQ
Led Zeppelin,Stairway to Heaven,Rock,70s,https://www.youtube.com/watch?v=Ly6ZhQVnVow
The Sugarhill Gang,Rapper's Delight,Hip-Hop,70s,https://www.youtube.com/watch?v=mcCK99wHrk0
Public Enemy,Fight the Power,Hip-Hop,80s,https://www.youtube.com/watch?v=mmo3HFa2vjg
Red Hot Chili Peppers,Give It Away,Rock,90s,https://www.youtube.com/watch?v=Mr_uHJPUlO8
Glass Animals,Heat Waves,Alternative,2020s,https://www.youtube.com/watch?v=mRD0-GxqHVo
SZA,Kill Bill,Pop,2020s,https://www.youtube.com/watch?v=MSRcC626prw
2Pac feat. Dr. Dre,California Love,Hip-Hop,90s,https://www.youtube.com/watch?v=N0VdRLdg2ng
The Cure,Just Like Heaven,Alternative,80s,https://www.youtube.com/watch?v=n3nPiBai66M
LL Cool J,I Need Love,Hip-Hop,80s,https://www.youtube.com/watch?v=NEUX-HYRtUA
Taylor Swift,Shake It Off,Pop,2010s,https://www.youtube.com/watch?v=nfWlot6h_JM
Pixies,Where Is My Mind?,Alternative,80s,https://www.youtube.com/watch?v=OJ62RzJkYUo
Duran Duran,Hungry Like the Wolf,Pop,80s,https://www.youtube.com/watch?v=oJL-lCzEXgI
Cage the Elephant,Cigarette Daydreams,Alternative,2010s,https://www.youtube.com/watch?v=opeETnB8m8w
Bruno Mars,Uptown Funk,Pop,2010s,https://www.youtube.com/watch?v=OPf0YbXqDm0
Fleetwood Mac,Go Your Own Way,Rock,70s,https://www.youtube.com/watch?v=ozl3L9fhKtE
Cyndi Lauper,Girls Just Want to Have Fun,Pop,80s,https://www.youtube.com/watch?v=PIb6AZdTr-A
Arctic Monkeys,I Bet You Look Good on the Dancefloor,Alternative,2000s,https://www.youtube.com/watch?v=pK7egZaT3hs
Doja Cat,Say So,Pop,2020s,https://www.youtube.com/watch?v=pok8H_KF1FA
OutKast,Hey Ya!,Hip-Hop,2000s,https://www.youtube.com/watch?v=PWgvGjAhvIw
twenty one pilots,Stressed Out,Rock,2010s,https://www.youtube.com/watch?v=pXRviuL6vMY
Pearl Jam,Alive,Rock,90s,https://www.youtube.com/watch?v=qM0zINtulhM
Mariah Carey,Fantasy,Pop,90s,https://www.youtube.com/watch?v=qq09UkPRdFY
Foo Fighters,Shame Shame,Rock,2020s,https://www.youtube.com/watch?v=R1G6-RUz3OA
Kelly Clarkson,Since U Been Gone,Pop,2000s,https://www.youtube.com/watch?v=R7UrFYvl5TE
Guns N' Roses,Paradise City,Rock,80s,https://www.youtube.com/watch?v=Rbm6GXllBiw
Kings of Leon,Sex on Fire,Alternative,2000s,https://www.youtube.com/watch?v=RF0HhrwIwp0
My Chemical Romance,Welcome to the Black Parade,Rock,2000s,https://www.youtube.com/watch?v=RRKJiM9Njr8
alt-J,Breezeblocks,Alternative,2010s,https://www.youtube.com/watch?v=rVeMiVU77wo
Adele,Rolling in the Deep,Pop,2010s,https://www.youtube.com/watch?v=rYEDA3JcQqw
Madonna,Like a Virgin,Pop,80s,https://www.youtube.com/watch?v=s__rX_WL100
Tame Impala,The Less I Know the Better,Alternative,2010s,https://www.youtube.com/watch?v=sBzrzS1Ag_g
Green Day,Boulevard of Broken Dreams,Rock,2000s,https://www.youtube.com/watch?v=Soa3gO7tL-c
Michael Jackson,Thriller,Pop,80s,https://www.youtube.com/watch?v=sOnqjkJTMaA
Blur,Song 2,Alternative,90s,https://www.youtube.com/watch?v=SSbBvKaM6sk
Van Halen,Jump,Rock,80s,https://www.youtube.com/watch?v=SwYN7mTi6HM
Boston,More Than a Feeling,Rock,70s,https://www.youtube.com/watch?v=t4QK8RxCAwo
Alice In Chains,Man in the Box,Rock,90s,https://www.youtube.com/watch?v=TAqZb52sgpU
Oasis,Champagne Supernova,Alternative,90s,https://www.youtube.com/watch?v=tI-5uv4wryI
N.W.A,Straight Outta Compton,Hip-Hop,80s,https://www.youtube.com/watch?v=TMZi25Pq3T8
No Doubt,Don't Speak,Alternative,90s,https://www.youtube.com/watch?v=TR3Vdo5etCQ
Foo Fighters,The Sky Is a Neighborhood,Rock,2010s,https://www.youtube.com/watch?v=TRqiFPpw2fY
Dua Lipa,Levitating,Pop,2020s,https://www.youtube.com/watch?v=TUVcZfQe-Kw
Prince,When Doves Cry,Pop,80s,https://www.youtube.com/watch?v=UG3VcCAlUgE
Death Cab for Cutie,Soul Meets Body,Alternative,2000s,https://www.youtube.com/watch?v=uizQVriWp8M
Nirvana,Come As You Are,Rock,90s,https://www.youtube.com/watch?v=vabnZ9-ex7o
Salt-N-Pepa,Push It,Hip-Hop,80s,https://www.youtube.com/watch?v=vCadcBR95oU
Beyonce,Crazy in Love,Pop,2000s,https://www.youtube.com/watch?v=ViwtNLUqkMY
JAY-Z feat. Alicia Keys,Empire State of Mind,Hip-Hop,2000s,https://www.youtube.com/watch?v=vk6014HuxcE
Greta Van Fleet,Heat Above,Rock,2020s,https://www.youtube.com/watch?v=vrWFu5k1Jpg
Savage Garden,Truly Madly Deeply,Pop,90s,https://www.youtube.com/watch?v=WQnAxOQxQIU
Dire Straits,Money for Nothing,Rock,80s,https://www.youtube.com/watch?v=wTP2RUD_cL0
Journey,Don't Stop Believin',Rock,80s,https://www.youtube.com/watch?v=x3idGV-7kSQ
Radiohead,Creep,Alternative,90s,https://www.youtube.com/watch?v=XFkzRNyygfk
ABBA,Dancing Queen,Pop,70s,https://www.youtube.com/watch?v=xFrGuyw1V8s
Maneskin,Beggin',Rock,2020s,https://www.youtube.com/watch?v=Xg72z08aTXY
Three Days Grace,Animal I Have Become,Rock,2000s,https://www.youtube.com/watch?v=xqds0B_meys
Live,Lightning Crashes,Rock,90s,https://www.youtube.com/watch?v=xsJ4O-nSveg
The Cars,Drive,Rock,80s,https://www.youtube.com/watch?v=xuZA6qiJVfU
Fleetwood Mac,Dreams,Pop,70s,https://www.youtube.com/watch?v=Y3ywicffOj4
Stone Temple Pilots,Interstate Love Song,Rock,90s,https://www.youtube.com/watch?v=yjJL9DGU7Gg
Hall & Oates,Maneater,Pop,80s,https://www.youtube.com/watch?v=yRYFKcMa_Ek
Wet Leg,Chaise Longue,Rock,2020s,https://www.youtube.com/watch?v=Zd9jeJk2UHQ
Michael Jackson,Billie Jean,Pop,80s,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
Olivia Rodrigo,drivers license,Pop,2020s,https://www.youtube.com/watch?v=ZmDBbnmKpqQ
The Teddybears w Iggy Pop,Punkrocker,Alternative,2000s,https://www.youtube.com/watch?v=8P09rxVaQAM
Gotye,Somebody That I Used To Know,Alternative,2010s,https://www.youtube.com/watch?v=8UVNT4wvIGY
